direccion,Barrio y/o Localidad,Provincia,Batch de geocoding
9 DE JULIO 2400,BAHIA BLANCA,BUENOS AIRES,0
9 DE JULIO 2700,BAHIA BLANCA,BUENOS AIRES,0
9 DE JULIO 3000,BAHIA BLANCA,BUENOS AIRES,0
9 DE JULIO 3300,BAHIA BLANCA,BUENOS AIRES,0
9 DE JULIO 3600,BAHIA BLANCA,BUENOS AIRES,0
9 DE JULIO 3900,BAHIA BLANCA,BUENOS AIRES,0
9 DE JULIO 4200,BAHIA BLANCA,BUENOS AIRES,0
9 DE JULIO 4500,BAHIA BLANCA,BUENOS AIRES,0
9 DE JULIO 4800,BAHIA BLANCA,BUENOS AIRES,0
ABEL BOURNAUD 0,BAHIA BLANCA,BUENOS AIRES,0
ABEL BOURNAUD 300,BAHIA BLANCA,BUENOS AIRES,0
ABEL BOURNAUD 600,BAHIA BLANCA,BUENOS AIRES,0
ABEL BOURNAUD 900,BAHIA BLANCA,BUENOS AIRES,0
ABEL BOURNAUD 1200,BAHIA BLANCA,BUENOS AIRES,0
ABEL BOURNAUD 1500,BAHIA BLANCA,BUENOS AIRES,0
ABEL BOURNAUD 1800,BAHIA BLANCA,BUENOS AIRES,0
ABEL BOURNAUD 2100,BAHIA BLANCA,BUENOS AIRES,0
ABEL BOURNAUD 2400,BAHIA BLANCA,BUENOS AIRES,0
ABEL BOURNAUD 2700,BAHIA BLANCA,BUENOS AIRES,0
ABEL BOURNAUD 3000,BAHIA BLANCA,BUENOS AIRES,0
ABEL BOURNAUD 3300,BAHIA BLANCA,BUENOS AIRES,0
ABEL BOURNAUD 3600,BAHIA BLANCA,BUENOS AIRES,0
ABEL BOURNAUD 3900,BAHIA BLANCA,BUENOS AIRES,0
ABEL BOURNAUD 4200,BAHIA BLANCA,BUENOS AIRES,0
ABEL BOURNAUD 4500,BAHIA BLANCA,BUENOS AIRES,0
ABEL BOURNAUD 4800,BAHIA BLANCA,BUENOS AIRES,0
ADAN QUIROGA 0,BAHIA BLANCA,BUENOS AIRES,0
ADAN QUIROGA 300,BAHIA BLANCA,BUENOS AIRES,0
ADAN QUIROGA 600,BAHIA BLANCA,BUENOS AIRES,0
ADAN QUIROGA 900,BAHIA BLANCA,BUENOS AIRES,0
ADAN QUIROGA 1200,BAHIA BLANCA,BUENOS AIRES,0
ADAN QUIROGA 1500,BAHIA BLANCA,BUENOS AIRES,0
ADAN QUIROGA 1800,BAHIA BLANCA,BUENOS AIRES,0
ADAN QUIROGA 2100,BAHIA BLANCA,BUENOS AIRES,0
ADAN QUIROGA 2400,BAHIA BLANCA,BUENOS AIRES,0
ADAN QUIROGA 2700,BAHIA BLANCA,BUENOS AIRES,0
ADAN QUIROGA 3000,BAHIA BLANCA,BUENOS AIRES,0
ADAN QUIROGA 3300,BAHIA BLANCA,BUENOS AIRES,0
ADAN QUIROGA 3600,BAHIA BLANCA,BUENOS AIRES,0
ADAN QUIROGA 3900,BAHIA BLANCA,BUENOS AIRES,0
ADAN QUIROGA 4200,BAHIA BLANCA,BUENOS AIRES,0
ADAN QUIROGA 4500,BAHIA BLANCA,BUENOS AIRES,0
ADAN QUIROGA 4800,BAHIA BLANCA,BUENOS AIRES,0
AGRIM AMBROSIO CRAMER 0,BAHIA BLANCA,BUENOS AIRES,0
AGRIM AMBROSIO CRAMER 300,BAHIA BLANCA,BUENOS AIRES,0
AGRIM AMBROSIO CRAMER 600,BAHIA BLANCA,BUENOS AIRES,0
AGRIM AMBROSIO CRAMER 900,BAHIA BLANCA,BUENOS AIRES,0
AGRIM AMBROSIO CRAMER 1200,BAHIA BLANCA,BUENOS AIRES,0
AGRIM AMBROSIO CRAMER 1500,BAHIA BLANCA,BUENOS AIRES,0
AGRIM AMBROSIO CRAMER 1800,BAHIA BLANCA,BUENOS AIRES,0
AGRIM AMBROSIO CRAMER 2100,BAHIA BLANCA,BUENOS AIRES,0
AGRIM AMBROSIO CRAMER 2400,BAHIA BLANCA,BUENOS AIRES,0
AGRIM AMBROSIO CRAMER 2700,BAHIA BLANCA,BUENOS AIRES,0
AGRIM AMBROSIO CRAMER 3000,BAHIA BLANCA,BUENOS AIRES,0
AGRIM AMBROSIO CRAMER 3300,BAHIA BLANCA,BUENOS AIRES,0
AGRIM AMBROSIO CRAMER 3600,BAHIA BLANCA,BUENOS AIRES,0
AGRIM AMBROSIO CRAMER 3900,BAHIA BLANCA,BUENOS AIRES,0
AGRIM AMBROSIO CRAMER 4200,BAHIA BLANCA,BUENOS AIRES,0
AGRIM AMBROSIO CRAMER 4500,BAHIA BLANCA,BUENOS AIRES,0
AGRIM AMBROSIO CRAMER 4800,BAHIA BLANCA,BUENOS AIRES,0
AGRIM VICENTE ALMANDOS ALMONACID 0,BAHIA BLANCA,BUENOS AIRES,0
AGRIM VICENTE ALMANDOS ALMONACID 300,BAHIA BLANCA,BUENOS AIRES,0
AGRIM VICENTE ALMANDOS ALMONACID 600,BAHIA BLANCA,BUENOS AIRES,0
AGRIM VICENTE ALMANDOS ALMONACID 900,BAHIA BLANCA,BUENOS AIRES,0
AGRIM VICENTE ALMANDOS ALMONACID 1200,BAHIA BLANCA,BUENOS AIRES,0
AGRIM VICENTE ALMANDOS ALMONACID 1500,BAHIA BLANCA,BUENOS AIRES,0
AGRIM VICENTE ALMANDOS ALMONACID 1800,BAHIA BLANCA,BUENOS AIRES,0
AGRIM VICENTE ALMANDOS ALMONACID 2100,BAHIA BLANCA,BUENOS AIRES,0
AGRIM VICENTE ALMANDOS ALMONACID 2400,BAHIA BLANCA,BUENOS AIRES,0
AGRIM VICENTE ALMANDOS ALMONACID 2700,BAHIA BLANCA,BUENOS AIRES,0
AGRIM VICENTE ALMANDOS ALMONACID 3000,BAHIA BLANCA,BUENOS AIRES,0
AGRIM VICENTE ALMANDOS ALMONACID 3300,BAHIA BLANCA,BUENOS AIRES,0
AGRIM VICENTE ALMANDOS ALMONACID 3600,BAHIA BLANCA,BUENOS AIRES,0
AGRIM VICENTE ALMANDOS ALMONACID 3900,BAHIA BLANCA,BUENOS AIRES,0
AGRIM VICENTE ALMANDOS ALMONACID 4200,BAHIA BLANCA,BUENOS AIRES,0
AGRIM VICENTE ALMANDOS ALMONACID 4500,BAHIA BLANCA,BUENOS AIRES,0
AGRIM VICENTE ALMANDOS ALMONACID 4800,BAHIA BLANCA,BUENOS AIRES,0
AGRON DE ANGELIS 0,BAHIA BLANCA,BUENOS AIRES,0
AGRON DE ANGELIS 300,BAHIA BLANCA,BUENOS AIRES,0
AGRON DE ANGELIS 600,BAHIA BLANCA,BUENOS AIRES,0
AGRON DE ANGELIS 900,BAHIA BLANCA,BUENOS AIRES,0
AGRON DE ANGELIS 1200,BAHIA BLANCA,BUENOS AIRES,0
AGRON DE ANGELIS 1500,BAHIA BLANCA,BUENOS AIRES,0
AGRON DE ANGELIS 1800,BAHIA BLANCA,BUENOS AIRES,0
AGRON DE ANGELIS 2100,BAHIA BLANCA,BUENOS AIRES,0
AGRON DE ANGELIS 2400,BAHIA BLANCA,BUENOS AIRES,0
AGRON DE ANGELIS 2700,BAHIA BLANCA,BUENOS AIRES,0
AGRON DE ANGELIS 3000,BAHIA BLANCA,BUENOS AIRES,0
AGRON DE ANGELIS 3300,BAHIA BLANCA,BUENOS AIRES,0
